pressure,temperature,humidity,weather_class
989,33,92,2
1005,17,31,3
998,19,40,0
1018,13,93,1
982,-1,50,3
1024,5,47,3
992,6,93,1
1029,4,67,3
1007,2,61,2
999,18,40,1
1007,22,74,3
987,30,62,1
1020,31,70,1
1018,15,37,1
980,2,40,0
982,3,80,3
992,9,70,0
1007,34,46,3
1028,12,75,2
1004,14,61,2
1012,0,83,2
1017,6,49,3
985,-4,62,1
1023,1,69,1
1024,10,61,0
1011,-3,31,0
1024,-3,62,2
1026,21,59,0
1000,34,62,3
995,32,55,3
1000,27,51,0
990,22,95,0
1016,-5,67,0
1015,2,75,0
1014,31,44,2
998,26,73,2
999,31,78,0
997,-2,90,3
1026,24,96,2
1020,0,35,3
1028,13,38,1
993,26,35,3
994,3,61,0
1010,6,70,1
980,5,37,2
982,10,79,2
995,-5,91,1
1002,15,91,3
990,24,36,2
991,7,33,0
989,28,35,1
1011,-2,87,0
995,22,51,1
987,32,55,2
1017,25,32,3
991,21,70,1
1003,-1,89,1
1007,19,43,0
987,-3,41,2
1007,27,41,0
1015,-2,42,2
1005,19,54,0
987,14,74,1
1029,28,48,0
1007,20,84,3
1007,-1,74,2
1016,29,37,2
1020,22,82,1
1015,23,84,2
1006,3,61,3
996,32,80,0
988,0,73,1
1012,13,99,3
999,5,47,2
992,-4,51,2
1007,3,66,3
1027,15,85,0
1008,18,88,0
992,28,32,1
1025,16,57,2
1014,-3,64,3
985,6,90,0
997,22,83,1
984,24,92,2
1026,20,36,2
1004,15,78,1
981,22,60,1
989,20,87,0
1009,27,90,3
1029,15,53,2
1024,29,49,3
984,28,66,2
1012,12,33,2
980,5,49,3
997,17,89,1
1011,16,53,0
1026,11,79,2
1028,-1,78,1
990,5,80,2
1000,24,65,0
1005,9,95,2
1004,21,63,0
1001,29,65,0
1006,27,35,2
1028,14,68,2
992,10,71,0
1012,28,87,1
1013,-4,41,3
1020,29,32,0
1014,34,47,2
980,22,69,2
1000,33,50,1
1027,0,44,3
985,3,55,0
1007,14,37,0
996,-5,71,3
984,2,73,0
1010,17,43,3
984,-3,31,2
1017,-2,66,3
982,19,98,0
1002,32,67,3
1016,9,70,1
1016,15,91,2
989,29,89,2
989,8,43,3
998,30,31,0
996,6,99,1
1000,11,46,2
993,33,57,2
988,3,95,0
1025,29,64,0
980,7,34,1
1024,9,94,3
992,12,69,0
983,27,85,3
980,0,65,1
1028,21,74,3
1019,17,52,2
1011,21,76,3
1013,28,60,1
1007,32,40,1
1010,8,39,1
987,30,96,3
1018,2,43,2
1005,29,39,0
1013,13,30,2
982,24,34,3
1029,8,49,3
991,14,37,0
980,19,72,3
1023,34,30,1
984,18,86,1
1009,8,93,1
1009,20,57,1
996,32,66,1
1027,17,76,3
1026,16,66,0
1002,13,78,0
994,-3,73,1
1016,13,85,3
1000,3,57,2
993,22,35,2
981,14,90,3
990,1,49,1
1018,8,31,0
1017,3,66,3
1013,13,49,2
1017,8,55,2
1029,32,58,2
1013,30,30,1
997,34,64,2
1009,11,99,3
994,24,88,3
1006,3,98,2
1013,27,62,3
1017,19,80,2
1012,8,41,2
1003,5,49,0
994,29,82,1
1009,8,72,1
1021,24,79,0
996,-2,58,0
984,-2,86,1
1008,22,68,2
983,2,85,2
989,-4,72,1
996,16,79,2
989,10,52,0
996,23,73,2
999,24,67,2
1003,6,52,3
984,29,74,3
1013,5,81,3
985,15,79,2
981,15,37,1
992,-1,30,0
1022,14,37,2
1022,31,58,1
1027,-3,34,2
990,27,76,0
1026,3,63,2
1002,3,94,0
995,-2,84,2
1010,29,72,0
990,11,59,2
995,28,46,0
987,18,55,3
983,26,37,2
1019,-5,76,2
983,2,75,1
1004,17,97,1
982,34,62,0
1011,6,30,2
982,6,48,0
1006,9,60,3
1008,13,43,1
1011,20,82,0
1029,23,77,0
998,16,98,1
1000,34,91,2
984,15,95,0
997,32,93,1
1007,14,99,2
1021,23,92,3
1001,-2,62,1
1000,1,70,0
985,22,77,3
980,22,42,2
984,-2,60,2
1020,16,97,1
991,6,33,1
1005,-3,48,1
1025,16,99,2
1013,-4,42,3
1028,18,52,2
993,28,30,0
1005,21,83,2
1024,-5,44,0
1006,2,94,3
988,17,44,1
1005,32,50,1
1026,0,48,2
1001,16,89,1
1026,19,62,3
1009,12,78,1
1022,11,64,2
1027,6,73,3
996,0,40,0
1005,20,95,2
1015,21,75,0
980,2,38,3
987,13,32,2
1028,-5,55,2
1014,23,77,3
994,29,95,1
1026,34,99,2
1001,8,57,2
993,29,55,0
1005,14,54,1
1007,7,41,0
1002,32,34,0
993,2,77,1
1003,14,66,1
981,27,73,3
1024,20,44,1
1005,33,72,2
993,15,77,1
986,3,99,3
982,18,75,3
1026,31,72,3
1002,11,50,1
1025,18,52,1
1022,15,76,0
1026,33,44,0
1024,33,54,2
997,7,65,0
1017,5,80,2
1014,13,44,3
994,5,97,0
1004,7,50,1
1016,-5,42,0
1007,34,48,2
989,13,63,0
1018,6,97,3
996,2,81,1
1018,2,56,2
1001,6,58,1
1005,27,57,1
1023,20,64,2
1004,33,37,1
996,22,45,1
992,-1,65,0
999,2,59,1
1004,19,47,1
983,21,31,1
989,17,78,1
982,24,33,2
1020,17,36,3
1024,14,68,0
997,12,42,1
1026,12,60,1
1015,-4,92,2
1026,-2,85,3
1001,24,71,1
1013,27,90,2
1026,30,71,0
987,12,85,0
1019,31,65,1
1028,13,97,1
1023,22,36,3
998,34,83,3
1021,14,30,1
1020,27,73,2
1016,6,74,3
985,9,76,1
1005,33,42,3
1013,-4,51,1
1024,23,50,0
985,4,38,1
1016,-4,55,0
